utc_hour,path_group,split,rain,past_rain_12h,past_rain_24h,last_rain_lag_h,issue_hour,issue_weekday,issue_month,week_block,target_hour_h1,target_weekday_h1,target_month_h1,target_hour_h2,target_weekday_h2,target_month_h2,target_hour_h3,target_weekday_h3,target_month_h3,target_hour_h6,target_weekday_h6,target_month_h6,signed_residual_h1,signed_residual_h2,signed_residual_h3,signed_residual_h6,absolute_residual_h1,absolute_residual_h2,absolute_residual_h3,absolute_residual_h6
2025-04-09 17:00:00+00:00,long_dry,final_eval,0.0,0.0,0.0,999,17,2,4,2025-14,18,2,4,19,2,4,20,2,4,23,2,4,-213.52610000000004,15.087399999999889,149.69409999999993,352.7354,213.52610000000004,15.087399999999889,149.69409999999993,352.7354
2025-04-09 18:00:00+00:00,long_dry,final_eval,0.0,0.0,0.0,999,18,2,4,2025-14,19,2,4,20,2,4,21,2,4,0,3,4,101.8952999999999,125.84609999999998,741.5808,121.62316999999996,101.8952999999999,125.84609999999998,741.5808,121.62316999999996
2025-04-09 19:00:00+00:00,long_dry,final_eval,0.0,0.0,0.0,999,19,2,4,2025-14,20,2,4,21,2,4,22,2,4,1,3,4,-23.15859999999998,535.3662999999999,413.85660000000007,-54.1191,23.15859999999998,535.3662999999999,413.85660000000007,54.1191
2025-04-09 20:00:00+00:00,long_dry,final_eval,0.0,0.0,0.0,999,20,2,4,2025-14,21,2,4,22,2,4,23,2,4,2,3,4,638.4473,274.0488,156.12120000000004,-92.38589999999999,638.4473,274.0488,156.12120000000004,92.38589999999999
2025-04-09 21:00:00+00:00,long_dry,final_eval,0.0,0.0,0.0,999,21,2,4,2025-14,22,2,4,23,2,4,0,3,4,3,3,4,301.71530000000007,88.09989999999993,-100.096,-146.6621,301.71530000000007,88.09989999999993,100.096,146.6621
2025-04-09 22:00:00+00:00,long_dry,final_eval,0.0,0.0,0.0,999,22,2,4,2025-14,23,2,4,0,3,4,1,3,4,4,3,4,277.0248999999999,-14.00500000000011,-43.33699999999999,-54.223540000000014,277.0248999999999,14.00500000000011,43.33699999999999,54.223540000000014
2025-04-09 23:00:00+00:00,long_dry,final_eval,0.0,0.0,0.0,999,23,2,4,2025-14,0,3,4,1,3,4,2,3,4,5,3,4,-16.69470000000001,-37.13779999999997,-96.82799999999997,-61.793279999999996,16.69470000000001,37.13779999999997,96.82799999999997,61.793279999999996
2025-04-10 00:00:00+00:00,long_dry,final_eval,0.0,0.0,0.0,999,0,3,4,2025-14,1,3,4,2,3,4,3,3,4,6,3,4,-3.057860000000005,-33.77719999999999,-47.486699999999985,-46.153778,3.057860000000005,33.77719999999999,47.486699999999985,46.153778
2025-04-10 01:00:00+00:00,long_dry,final_eval,0.0,0.0,0.0,999,1,3,4,2025-14,2,3,4,3,3,4,4,3,4,7,3,4,-96.93133999999998,-86.68103000000002,-30.556690000000003,-18.727413,96.93133999999998,86.68103000000002,30.556690000000003,18.727413
2025-04-10 02:00:00+00:00,long_dry,final_eval,0.0,0.0,0.0,999,2,3,4,2025-14,3,3,4,4,3,4,5,3,4,8,3,4,-43.36995999999999,-11.57956999999999,-23.896469999999994,6.956474,43.36995999999999,11.57956999999999,23.896469999999994,6.956474
2025-04-10 03:00:00+00:00,long_dry,final_eval,0.0,0.0,0.0,999,3,3,4,2025-14,4,3,4,5,3,4,6,3,4,9,3,4,9.299170000000004,-2.5941279999999978,-24.243479999999998,-1.464570000000009,9.299170000000004,2.5941279999999978,24.243479999999998,1.464570000000009
2025-04-10 04:00:00+00:00,long_dry,final_eval,0.0,0.0,0.0,999,4,3,4,2025-14,5,3,4,6,3,4,7,3,4,10,3,4,-5.3332440000000005,-24.928257000000002,-11.655937000000002,-15.283659999999998,5.3332440000000005,24.928257000000002,11.655937000000002,15.283659999999998
2025-04-10 05:00:00+00:00,long_dry,final_eval,0.0,0.0,0.0,999,5,3,4,2025-14,6,3,4,7,3,4,8,3,4,11,3,4,-23.819405000000003,-9.945501,15.375853999999997,156.91724,23.819405000000003,9.945501,15.375853999999997,156.91724
2025-04-10 06:00:00+00:00,long_dry,final_eval,0.0,0.0,0.0,999,6,3,4,2025-14,7,3,4,8,3,4,9,3,4,12,3,4,-7.877565000000001,7.576045999999998,14.353480000000005,417.4055000000001,7.877565000000001,7.576045999999998,14.353480000000005,417.4055000000001
2025-04-10 07:00:00+00:00,long_dry,final_eval,0.0,0.0,0.0,999,7,3,4,2025-14,8,3,4,9,3,4,10,3,4,13,3,4,-1.4229350000000025,-2.8749699999999905,-62.77141999999998,80.34659999999997,1.4229350000000025,2.8749699999999905,62.77141999999998,80.34659999999997
2025-04-10 08:00:00+00:00,long_dry,final_eval,0.0,0.0,0.0,999,8,3,4,2025-14,9,3,4,10,3,4,11,3,4,14,3,4,-0.8862599999999929,29.261169999999993,84.90734999999995,-98.92505000000006,0.8862599999999929,29.261169999999993,84.90734999999995,98.92505000000006
2025-04-10 09:00:00+00:00,long_dry,final_eval,0.0,0.0,0.0,999,9,3,4,2025-14,10,3,4,11,3,4,12,3,4,15,3,4,0.9181199999999876,128.23490000000004,459.0800999999999,-223.7717,0.9181199999999876,128.23490000000004,459.0800999999999,223.7717
